'SymmetricSector.gradient_recurrence' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.gradient_terminal' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.gradient_poisson_equation' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.gradient_second_order' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.rank_maximum_principle' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.gradient_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.gradient_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseQ_badReward' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseWbar_supersolution' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseC_Wbar_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseC_Wbar_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseW_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseW_le_Wbar' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseC_W_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseF0_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'SymmetricSector.phaseF0_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
