[strict JSON] PASS  all five canonical certificates have unique keys and closed schemas
[JSON mutation rejection] PASS  compact K2P duplicate top-level key: duplicate JSON object key 'schema_version'
[JSON mutation rejection] PASS  compact K2P unknown top-level field: closed JSON schema mismatch
[JSON mutation rejection] PASS  compact K2P unknown nested vertex field: closed JSON schema mismatch
[JSON mutation rejection] PASS  compact K2P non-standard NaN constant: non-standard JSON numeric constant 'NaN'
[JSON mutation rejection] PASS  continuous-time K2P duplicate top-level key: duplicate JSON object key 'schema_version'
[JSON mutation rejection] PASS  continuous-time K2P unknown top-level field: closed JSON schema mismatch
[JSON mutation rejection] PASS  K3P duplicate top-level key: duplicate JSON object key 'schema_version'
[JSON mutation rejection] PASS  K3P duplicate nested vertex key: duplicate JSON object key 'id'
[JSON mutation rejection] PASS  K3P unknown rooted-network field: closed JSON schema mismatch
[JSON mutation rejection] PASS  K3P unknown operative arc field: closed JSON schema mismatch
[JSON mutation rejection] PASS  K3P same-length row-shape multiplicity shift: closed JSON schema mismatch
[JSON mutation rejection] PASS  K3P coordinated embedded-and-sidecar extra fields: closed JSON schema mismatch
[JSON mutation rejection] PASS  K3P Jacobian sidecar duplicate key: duplicate JSON object key 'ambient_space'
[JSON mutation rejection] PASS  K3P continuous-time sidecar duplicate key: duplicate JSON object key 'method'

ALL STRICT JSON AND CLOSED-SCHEMA MUTATION CHECKS PASSED
