extension_h_mask,extension_h_neighbors,labeled_graph6,canonical_graph6,gamma,alpha,gamma_infinity,theta,unrestricted_optimal_kernel_states,family_witness_count,augmentation_sensitive_witness_count,family_witnesses
0,[],IFzvvn{~w,Ivzax|~~w,1,3,3,3,119,6,6,"[{""new_list"":[0],""family_states"":90,""deletion_rounds"":[14,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1],""family_states"":85,""deletion_rounds"":[18,5,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":91,""deletion_rounds"":[14,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":93,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":99,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":94,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
1,[0],IFzvvn{^w,It\v]x~nw,2,3,3,3,118,3,3,"[{""new_list"":[1],""family_states"":84,""deletion_rounds"":[19,5,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":89,""deletion_rounds"":[16,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":94,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
2,[1],IFzvvn{nw,It\v]x~nw,2,3,3,3,118,3,3,"[{""new_list"":[0],""family_states"":87,""deletion_rounds"":[17,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":89,""deletion_rounds"":[16,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":99,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
3,"[0,1]",IFzvvn{Nw,I^wx}nNvw,2,3,3,3,111,1,1,"[{""new_list"":[2],""family_states"":89,""deletion_rounds"":[16,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
4,[2],IFzvvn{vw,It\v]x~nw,2,3,3,3,118,3,3,"[{""new_list"":[0],""family_states"":87,""deletion_rounds"":[17,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1],""family_states"":84,""deletion_rounds"":[19,5,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":91,""deletion_rounds"":[14,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
5,"[0,2]",IFzvvn{Vw,I^wx}nNvw,2,3,3,3,111,1,1,"[{""new_list"":[1],""family_states"":84,""deletion_rounds"":[19,5,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
6,"[1,2]",IFzvvn{fw,I^wx}nNvw,2,3,3,3,111,1,1,"[{""new_list"":[0],""family_states"":87,""deletion_rounds"":[17,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
7,"[0,1,2]",IFzvvn{Fw,I?~~vjr|w,2,4,4,4,210,0,0,[]
8,[3],IFzvvn{zw,Ivzax|~~o,2,3,3,3,119,6,6,"[{""new_list"":[0],""family_states"":90,""deletion_rounds"":[14,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1],""family_states"":85,""deletion_rounds"":[18,5,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":91,""deletion_rounds"":[14,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":93,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":99,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":94,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
9,"[0,3]",IFzvvn{Zw,Ij]|tnnvo,2,3,3,3,118,3,3,"[{""new_list"":[1],""family_states"":84,""deletion_rounds"":[19,5,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":89,""deletion_rounds"":[16,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":94,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
