Prior result,Year,Kinetic class,Input data,Fixed or existential parameters,Stationary or wave,Necessary/sufficient/iff,Algorithmic complexity,Conservation laws,Exact distinction from present theorem,Priority status
Turing - The Chemical Basis of Morphogenesis,1952,Smooth reaction-diffusion models,Chosen kinetic system and diffusion,Fixed model parameters,Linear stationary and oscillatory modes,Mechanism and examples,No network decision complexity,Model-specific,Foundational mechanism; no classical-mass-action reaction-hypergraph decision theorem,CLOSE_BACKGROUND
Anma Sakamoto Yoneda - Unstable subsystems cause Turing instability,2012,General fixed Jacobian reaction-diffusion systems,Numerical Jacobian/principal subsystems,Fixed J existential diffusion,Stationary,Fixed-J characterization/sufficiency framework,No reaction-network complexity,Not a mass-action flux-cone treatment,Closest fixed-J antecedent; does not quantify over all positive mass-action realizations,CLOSE_FIXED_J
Mincheva Craciun - Graph-theoretic conditions for zero-eigenvalue Turing instability,2013,Classical mass action,Reaction-network graph and Jacobian graph,Parameter-dependent/existential conditions,Stationary zero crossing,Necessary condition (and special analyses),No NP-hardness/fixed-n theorem,General CRNs but not the present full conservative iff,Closest mass-action graph criterion; not a complete arbitrary-network iff,CLOSE_MASS_ACTION
Marcon Diego Sharpe Muller - high-throughput Turing networks,2016,General network ODE kinetics,Signed interaction topology/numerical sampling,Parameter sampling,Stationary patterns/instability,Computational atlas and sufficient/empirical conditions,Enumeration rather than exact complexity,Usually full ODE state,Not an indexed classical-mass-action existential decision theorem,NEARBY_TOPOLOGY
Diego Marcon Muller Sharpe - Key features...,2018,General interaction networks,Signed network topology,Existential/robustness over interaction strengths,Stationary Turing systems,Topological theorems for selected features,No reaction-hypergraph NP-hardness theorem,No mass-action conservation parametrization,Topology concerns Jacobian interaction structure rather than indexed (Gamma,Y),CLOSE_TOPOLOGY
Scholes Schnoerr Isalan Stumpf - Network atlas,2019,General kinetic network models,Small interaction topologies,Parameter sampling,Stationary Turing,Atlas/robustness study,Computational census,Model-specific,No exact arbitrary-network mass-action iff or complexity boundary,NEARBY_ATLAS
Ge Arcak - additive D-stability,2009,Fixed matrices/reaction-diffusion models,Numerical matrix,Fixed J,Spectral diffusion stability,Sufficient condition,Polynomial matrix checks for condition,Not reaction-network existential,Fixed-J stability exclusion rather than network-wide mass-action admissibility,CLOSE_MATRIX
Villar-Sepulveda Champneys - General Conditions for Turing and Wave Instabilities,2023,General fixed reaction-diffusion Jacobian,Numerical J and diffusivities,Fixed J/diffusion family,Stationary and wave,General spectral criteria,No mass-action network complexity,No flux-cone elimination,General fixed-system instability boundary; not reaction-hypergraph decision,CLOSE_FIXED_J
Piskovsky - Turing instabilities for three interacting species,2024,General three-species systems,Numerical 3x3 Jacobian and diffusion,Fixed J existential diffusivities,Stationary and Turing-Hopf,Necessary and sufficient inequalities,Closed-form fixed dimension,No mass-action conservation realization,Closest n=3 fixed-J result; present theorem concerns arbitrary n and existential classical mass-action realizations,CLOSE_THREE_SPECIES
Vassena Stadler - Unstable cores,2024,Parameter-rich kinetics including generalized mass action,Stoichiometric submatrices/child selections,Existential kinetic derivatives,Well-mixed instability (not specifically diffusion),Sufficient unstable-core conditions,No stationary-Turing decision complexity,Structural stoichiometric setting,Uses richer independent derivative parameters; no classical-mass-action exact iff,CLOSE_UNSTABLE_CORE
Vassena - Symbolic hunt...,2025,Reaction networks with parameter-rich kinetic parametrizations,Child selections and symbolic Jacobian terms,Existential parameters,Well-mixed bifurcations/instabilities,Sufficient structural conditions and algorithms,Symbolic search not present complexity theorem,Network-aware,Related symbolic machinery but different phenomenon and kinetic freedom,NEARBY_CHILD_SELECTION
Conradi Mincheva Uecker - Monomial steady-state spatial instabilities,2026,Reaction networks admitting monomial steady-state parametrization,Restricted network plus parametrization,Existential rates/diffusion in restricted class,Spatial/Turing-like,Sufficient polynomial inequalities,No NP-hardness or arbitrary-network fixed-n theorem,Can include conservation via parametrization,Closest 2026 mass-action spatial work; restricted class and sufficient conditions only,CLOSEST_CURRENT
Blondel Tsitsiklis - NP-hardness of linear control design,1997,Interval matrix families,Rational interval matrix,Existential interval choice,Hurwitz stability,NP-hardness source theorem,NP-hard from PARTITION,Not chemical,Provides the matrix source family; present work adds scaling elimination and exact mass-action realization,SOURCE_HARDNESS
Sun - Gallery of diagonal stability conditions,2023,Matrix stability,Real square matrix,Existential diagonal scaling,Hurwitz stability,Survey/open characterization statement,No present CRN complexity result,Not chemical,Confirms unrestricted diagonal stabilizability is not silently solved,BOUNDARY_MATRIX
Andersen Flamm Merkle Stadler - autocatalysis/output complexity,2011,Stoichiometric/flow CRNs,Reaction graph and flux constraints,Combinatorial flow choices,Not Turing,NP-complete for other CRN tasks,NP-complete including bounded molecularity,Stoichiometric,Shows CRN complexity precedent but not deterministic mass-action diffusion instability,OTHER_CRN_COMPLEXITY
Doty Zhu - atomic CRN complexity,2017,Discrete/stochastic-style CRN properties,Reaction list,Structural/reachability,Not Turing,Complexity classifications,P/NP/PSPACE results,Stoichiometric conservation notions,Unrelated decision property and semantics,OTHER_CRN_COMPLEXITY
Krause Gaffney Jewell Klika Walker - Turing instabilities are not enough...,2024,Nonlinear reaction-diffusion models,Chosen systems,Fixed parameters,Linear Turing versus nonlinear outcomes,Counterexamples to nonlinear inference,No network complexity,Model-specific,Supports the manuscript's strict linear/nonlinear limitation,SCOPE_BOUNDARY
