Prior result,Level,Kinetic class,Parameter quantifier,Localization notion,Stationary or wave,Maximum order,Exact diffusion law,Nonlinear branch,Stable branch,Difference from flagship
Turing 1952,PDE model,specific kinetics,selected,linear diffusion instability,stationary,no,no,no,no,no topology-wide reaction family
Satnoianu-Menzinger-Maini 2000,numerical matrix,general smooth,selected,unstable subsystem,stationary,arbitrary proper,no,no,no,fixed matrix rather than all positive reaction realizations
Anma-Sakamoto-Yoneda 2012,numerical matrix,general reaction-diffusion,selected,unstable principal subsystem,stationary and wave,finite dimensional,no,no,no,no mass-action topology quantifier
Mincheva-Craciun 2013,reaction topology,classical mass action,topological necessary condition,projected injectivity,stationary,l<n,no,no,no,different projection notion
Diego et al. 2018,interaction topology,general kinetics,ensemble,topological features,stationary,no,no,no,no,no complete mass-action realization family
Scholes et al. 2019,finite atlas,general kinetics,finite ensemble,Turing capacity,stationary,finite,no,no,no,no arbitrary-dimensional exact theorem
Villar-Sepulveda-Champneys 2023,numerical matrix,general kinetics,selected,fixed-J criteria,stationary and wave,arbitrary,no,no,no,no topology-specific design law
Piskovsky 2025,numerical matrix,three species,selected,fixed-J criteria,stationary and wave,three,no,no,no,fixed dimension
Vassena-Stadler 2024,reaction network,parameter-rich kinetics,existential,unstable core,well-mixed,unbounded,no,no,no,different kinetic freedoms and no diffusion branch
Waters-Yates-Dawes 2024/2025,reaction schemes,classical mass action,selected,minimal schemes and normal forms,stationary,two,no,yes,yes,broader molecularity convention and fixed dimension
Paul-Adetunji-Hong 2024,biochemical networks,classical mass action,selected finite screen,Turing capability,stationary,finite,no,selected,selected,biochemical atlas rather than extremal family
Conradi-Mincheva-Uecker 2026,reaction networks,monomial steady-state mass action,existential sufficient,spatial instability,stationary/Turing-like,restricted,no,no,no,sufficient restricted criterion
Flagship,indexed reaction topology,binary-complex classical mass action,all positive realizations,principal-block all-spectrum plus diffusion design,stationary design with smaller-block all-spectrum,n-1,yes,yes,yes,universal realization and exponent-optimal stable heterogeneity scaling
